Collections of quad+ 119s
[4] 347477657 -> c513dcfcc4a3124811909a3119119aa8e2819ad07493221198d75c518330eb5a
[4] 487389290 -> 6868fb91190e49119d04211718f119b7119cafd51e86f330a6b9aeec54b00167
[4] 834586626 -> 5516811911b756f93e31a67ee35a7a2a01191f29119e42d119c049c99ff879a7
[4] 219829040053 -> 7cc11953ff73d2d119c19b73a11980c03e93605d2d26d190ee215c225119d99f
[4] 220336905567 -> 206e85340922ec88d131199119119fbb439880b062f566f9119b710c29d65f4b
[4] 220389226761 -> 3c311966330402c7c0e1197941193888a50690cb6295fd58324c7119e6cb8153
[4] 220895017323 -> 7162ae1193b0732af254a84035b119f0df74d119b73dad1da3239a710119f56f
[4] 221763686940 -> bd1ce09fd8300591196d9888c7f119558cef119c869d70873987119b3fa477d7
[4] 221920089587 -> c798a94232117f6bcd3a348283a54762119b80e5572124119c119935f7d8119d
[4] 224036962369 -> 7e24fde4ee6cd234c5a9572c11988d8b0c03576970f4111977c1192119e5ecf6
[4] 224151066465 -> 119c8ef01dc758bc32c75b3d05d8a78c5a311972d37e7119ca60119012294a3b
[4] 225273434881 -> f4e6689a55119119b07c95e31191532e230af941788fe7ccc41190288d1f3dca
[4] 227420512517 -> 70ab8e8fe46b58e8014119d89e29c5721525fca119a81e11994757b8119d7e11
[4] 227550734032 -> 1d3aa078772de589a4611911964f8171192cc423d4bc119754279d3f63387914
[4] 228608928175 -> ef11b7a6b83ce260b119ad82485f2487f11940a91119111996b6bbc218ba700b
[4] 228625308370 -> 7350bd9ff195340229f6119c0a529119f540e16cf8169119d3a2292c0edf7119
[4] 230005913451 -> 35730720aa119119c74a31aba32119b438e7ccb0440b55da127cc1ce32fc1192
[4] 231290320416 -> 941197f67d71190a1f86b81191f1ae2846456c76f9c822f11999f9f84e714b2c
[4] 232121943236 -> a98a35699711934e90c3198a1d70ff92e284b8e119ea9cbb4011916e911997c1
[4] 232951564254 -> 330840119009d7b4fc6f680ed94fd119e1059119bc42e47d930c8039d1196bf5
[4] 234177616176 -> 6da79e2b448afd5acfa480f1b0cd25346aa9211946b0211902911944f7735119
[4] 234718480086 -> d87361194f48e2f3d00a76e66b8cdea38631192e27efe13119934cff119abb16
[4] 234772140016 -> 1e9f408c43119c119227e119c4d4ea1ccea5bf571fa6c73be442fa2436119549
[4] 234880520613 -> 051b3cdf7119eda53701198689fa52dbe3a036107119291b18fec1cca7119a94
[4] 235146532787 -> 119d2090ff455af119ffa28964561d119f5119de72616a2001a2e8ee7f918e19
[4] 236116455100 -> 16bcdeaa876119fbd48c3119eacb54a4c1193ae25b22611966477e9d97068f4c
[4] 236343206157 -> 8d446e671b62c6f0db408119c450c23893f119e11196b9738d4b02d301194bc7
[4] 236829746088 -> d567119599d79d93df119594189fafa8126f4f119aecfed50a01e0eccb0119bc
[4] 236915606033 -> 01f65653878ce804a1198746e4341197e4e796c5c43eb1191fe5d3e40119e328
[4] 237155151649 -> 11937837d11958e7d9619a31191ef3050105b83be02cb11912dc93eea91b92cf
[4] 238714512180 -> 7119831773dea4ec5b8fc0c6d119ba3511911976711eb230eff9a2742ae82aea
[4] 240767348229 -> 2de181196ea8f31ffc07fe11978060d7b8426ecc03f98b216119e638c1190b4e
[4] 240830831186 -> 559d941392fbf54b95ad0adbee6f03e2b6f11959fc14cb119150d119f1622119
[4] 240945374214 -> 37206b5811958341b858fa126531f42d9de2c7c119fd1a267cf3111923de1192
[4] 242940260036 -> 91811907d1c1323ebb911975b670e56548c4f70771195a96f119c1b7f76a8552
[4] 242947285600 -> 37354fb119fd10119459119d44498b64f12c37119d6bfce72c2466896bb7a526
[4] 242962634037 -> 1caf14f1191192b6560fa11937f5994e3b081246a61575d33298151197920ab9
[4] 243582819924 -> 0e79be90936435406119c37531191197119261185e96a50355acb34c37856187
[4] 245985843180 -> 13cfc011932888c70a7016ec3896297cb881c2119aa0e57e6611905119b6ea28
[4] 247058456601 -> 17400119737381194666c70bbcf0f59c119a5fb9d8ba949b9647aadaf119600a
[4] 248371645145 -> 8c9119d88b709c80676119fb2a119f15d244ccb7e1119265c34904f7aad350e8
[4] 248372080831 -> c26244733bd2119a564a2a1192a11918bfdaec5dee68d2914119ba67b96785d0
[4] 248644168358 -> d11991193d8b0b232f11294325572c129dfd14f81ac726243b5619f119119899
[4] 249021489250 -> 70362f14119855c651fc7a60c07f3aa2e8ff1191195cd1c71e25a17436119466
[4] 249440064492 -> 1192516119957cd7ed88fcc3096dd0a39f6761196f9b1194fe60f1fc70f67ba4
[4] 249851873634 -> daf584edfafa0acde1191119edf2119e1d107371190f75bf64f5483f719639ef
[4] 250463680506 -> b42850119119a3f5768bc1c34dbecfbec711905d7c462713a6f2f26e119e45b3
[4] 250492499701 -> 119a11917d0a7aba40a1cf693f9581b62182119055fdc131195e12aaa9e92310
[4] 250695006097 -> b0111928969d119720f65e83ddac1195e507597d398c9c6546785be31195e44d
[4] 251099155611 -> c37b119adef6bd3b241c680c11945d30785c527bc993b5f401192f119036bd2d
